ax;ay;az;break_angle;break_length;break_y;des;end_speed;nasty;on_1b;on_2b;on_3b;pfx_x;pfx_z;pitch_type;px;pz;spin_dir;spin_rate;start_speed;sv_id;sz_bot;sz_top;type;type_confidence;vx0;vy0;vz0;x0;y0;z0;zone;url;num;count;away_team_runs;b;b_height;batter;atbat_des;event;event2;home_team_runs;o;p_throws;pitcher;s;score;stand;inning;top_inning;batter_name;pitcher_name
-0.962;29.31;-11.62;2.4;2.4;23.8;Ball;84.9;NA;NA;NA;NA;-0.52;11.01;FF;-1.547;5.675;182.678;2203.378;92.4;130226_130436;1.58;3.29;B;.947;2.253;-135.483;2.35;-2.322;50.0;5.608;11;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;1;0-0;NA;2;6-0;276547;Dewayne Wise pops out to third baseman Mike Olt in foul territory.  ;Pop Out;NA;NA;1;R;506433;2;NA;L;1;Y;Dewayne Wise;Yu Darvish
-7.432;31.373;-12.33;27.0;3.1;23.8;Ball;85.9;NA;NA;NA;NA;-3.9;10.39;FF;-1.319;3.429;200.531;2238.529;93.7;130226_130453;1.71;3.21;B;.915;3.548;-137.332;-3.047;-2.122;50.0;5.395;11;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;1;1-0;NA;2;6-0;276547;Dewayne Wise pops out to third baseman Mike Olt in foul territory.  ;Pop Out;NA;NA;1;R;506433;2;NA;L;1;Y;Dewayne Wise;Yu Darvish
-10.245;31.518;-9.723;39.9;2.9;23.8;Called Strike;85.4;NA;NA;NA;NA;-5.44;11.88;FF;-0.371;3.649;204.527;2618.598;93.4;130226_130509;1.56;3.4;S;.845;6.652;-136.724;-3.145;-2.135;50.0;5.486;11;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;1;2-0;NA;2;6-0;276547;Dewayne Wise pops out to third baseman Mike Olt in foul territory.  ;Pop Out;NA;NA;1;R;506433;2;NA;L;1;Y;Dewayne Wise;Yu Darvish
-0.076;27.287;-15.252;-4.7;3.6;23.8;Foul;84.5;NA;NA;NA;NA;-0.04;9.25;FF;0.552;2.969;180.255;1835.941;91.3;130226_130530;1.71;3.48;S;.921;6.957;-133.721;-3.399;-2.071;50.0;5.342;3;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;1;2-1;NA;2;6-0;276547;Dewayne Wise pops out to third baseman Mike Olt in foul territory.  ;Pop Out;NA;NA;1;R;506433;2;NA;L;1;Y;Dewayne Wise;Yu Darvish
14.851;24.968;-33.317;-25.0;9.8;23.8;In play, out(s);77.8;NA;NA;NA;NA;9.7;-0.8;SL;0.669;2.551;85.599;1755.696;84.0;130226_130604;1.62;3.45;X;.865;4.169;-123.081;-0.052;-2.309;50.0;5.399;6;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;1;2-2;NA;2;6-0;276547;Dewayne Wise pops out to third baseman Mike Olt in foul territory.  ;Pop Out;NA;NA;1;R;506433;2;NA;L;1;Y;Dewayne Wise;Yu Darvish
-7.418;32.912;-8.292;30.7;2.3;23.8;Called Strike;87.1;NA;NA;NA;NA;-3.79;12.16;FF;0.158;2.814;197.254;2602.150;95.3;130226_130648;1.51;3.16;S;.911;7.382;-139.425;-5.461;-2.038;50.0;5.352;2;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;2;0-0;NA;1;6-0;493596;Gordon Beckham strikes out swinging.  ;Strikeout;NA;NA;2;R;506433;3;NA;R;1;Y;Gordon Beckham;Yu Darvish
-13.381;32.217;-6.342;52.1;2.9;23.8;Ball;87.7;NA;NA;NA;NA;-6.79;13.07;FT;0.703;1.048;207.383;3021.544;95.7;130226_130722;1.53;3.3;B;.769;9.716;-139.684;-10.292;-1.942;50.0;5.202;14;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;2;0-1;NA;1;6-0;493596;Gordon Beckham strikes out swinging.  ;Strikeout;NA;NA;2;R;506433;3;NA;R;1;Y;Gordon Beckham;Yu Darvish
-10.236;33.777;-10.232;38.2;3.0;23.7;Foul;87.7;NA;NA;NA;NA;-5.15;11.01;FF;-0.945;2.732;205.008;2499.681;95.9;130226_130742;1.53;3.19;S;.879;5.055;-140.524;-5.187;-2.103;50.0;5.275;11;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;2;1-1;NA;1;6-0;493596;Gordon Beckham strikes out swinging.  ;Strikeout;NA;NA;2;R;506433;3;NA;R;1;Y;Gordon Beckham;Yu Darvish
15.64;22.941;-29.306;-29.0;8.5;23.9;Swinging Strike;79.5;NA;NA;NA;NA;9.81;1.75;SL;0.448;3.093;100.391;1847.067;85.2;130226_130821;1.53;3.19;S;.868;3.762;-124.893;0.272;-2.348;50.0;5.374;3;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;2;1-2;NA;1;6-0;493596;Gordon Beckham strikes out swinging.  ;Strikeout;NA;NA;2;R;506433;3;NA;R;1;Y;Gordon Beckham;Yu Darvish
-1.729;26.494;-14.416;1.3;3.3;23.8;Called Strike;85.9;NA;NA;NA;NA;-0.92;9.44;FF;0.5;2.204;185.559;1913.892;92.4;130226_130859;1.71;3.77;S;.921;7.336;-135.247;-5.475;-2.115;50.0;5.247;9;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;3;0-0;NA;2;6-5;425567;Alex Rios pops out to second baseman Ian Kinsler.  ;Pop Out;NA;NA;3;R;506433;2;NA;R;1;Y;Alex Rios;Yu Darvish
-7.033;33.451;-9.627;24.9;2.5;23.7;Foul;87.4;NA;NA;NA;NA;-3.57;11.41;FF;0.695;2.854;197.323;2448.721;95.6;130226_130916;1.44;3.15;S;.915;8.504;-139.931;-5.068;-1.928;50.0;5.328;3;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;3;0-1;NA;2;6-5;425567;Alex Rios pops out to second baseman Ian Kinsler.  ;Pop Out;NA;NA;3;R;506433;2;NA;R;1;Y;Alex Rios;Yu Darvish
-9.606;36.227;-7.232;37.9;2.2;23.7;Ball;88.0;NA;NA;NA;NA;-4.79;12.41;FF;1.53;2.76;201.062;2738.652;96.9;130226_130945;1.72;3.69;B;.897;11.184;-141.589;-5.72;-1.871;50.0;5.285;12;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;3;0-2;NA;2;6-5;425567;Alex Rios pops out to second baseman Ian Kinsler.  ;Pop Out;NA;NA;3;R;506433;2;NA;R;1;Y;Alex Rios;Yu Darvish
-8.28;36.368;-9.787;28.5;2.5;23.7;Foul;88.1;NA;NA;NA;NA;-4.12;11.1;FF;0.698;3.147;200.296;2441.649;97.0;130226_131011;1.44;3.15;S;.909;9.387;-141.826;-4.247;-2.139;50.0;5.304;3;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;3;1-2;NA;2;6-5;425567;Alex Rios pops out to second baseman Ian Kinsler.  ;Pop Out;NA;NA;3;R;506433;2;NA;R;1;Y;Alex Rios;Yu Darvish
14.347;26.998;-28.903;-28.0;8.5;23.8;Foul;78.6;NA;NA;NA;NA;9.14;2.04;SL;1.017;2.816;102.844;1707.947;85.3;130226_131053;1.44;3.15;S;.867;5.542;-124.995;-0.345;-2.421;50.0;5.345;12;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;3;1-2;NA;2;6-5;425567;Alex Rios pops out to second baseman Ian Kinsler.  ;Pop Out;NA;NA;3;R;506433;2;NA;R;1;Y;Alex Rios;Yu Darvish
14.348;29.771;-29.067;-27.6;8.6;23.8;Ball;79.0;NA;NA;NA;NA;9.0;1.9;SL;1.116;1.816;102.219;1683.805;86.3;130226_131124;1.72;3.59;B;.866;5.484;-126.489;-2.658;-2.262;50.0;5.251;14;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;3;1-2;NA;2;6-5;425567;Alex Rios pops out to second baseman Ian Kinsler.  ;Pop Out;NA;NA;3;R;506433;2;NA;R;1;Y;Alex Rios;Yu Darvish
-7.164;32.678;-9.222;30.3;2.4;23.8;In play, out(s);87.6;NA;NA;NA;NA;-3.62;11.56;FF;-0.557;3.269;197.333;2490.483;95.6;130226_131148;1.44;3.15;X;.915;5.375;-140.064;-3.931;-2.034;50.0;5.298;11;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;3;2-2;NA;2;6-5;425567;Alex Rios pops out to second baseman Ian Kinsler.  ;Pop Out;NA;NA;3;R;506433;2;NA;R;1;Y;Alex Rios;Yu Darvish
-5.805;24.348;-16.64;14.4;4.1;23.9;Called Strike;84.1;NA;NA;NA;NA;-3.25;8.65;FF;0.137;1.973;200.489;1823.923;90.2;130226_132118;1.66;3.47;S;.905;7.224;-131.906;-5.667;-2.198;50.0;5.349;8;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;7;0-0;NA;3;6-6;276055;Adam Dunn called out on strikes.  ;Strikeout;NA;NA;1;R;506433;3;NA;L;2;Y;Adam Dunn;Yu Darvish
-12.397;26.318;-20.851;29.7;5.9;23.8;Ball;79.6;NA;NA;NA;NA;-7.6;6.9;FS;-2.006;4.163;227.592;1918.458;86.6;130226_132139;1.66;3.47;B;.977;2.905;-126.968;0.599;-2.178;50.0;5.585;11;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;7;0-1;NA;3;6-6;276055;Adam Dunn called out on strikes.  ;Strikeout;NA;NA;1;R;506433;3;NA;L;2;Y;Adam Dunn;Yu Darvish
-4.677;24.794;-15.25;12.0;3.7;23.9;Ball;85.2;NA;NA;NA;NA;-2.55;9.18;FF;0.015;1.684;195.447;1905.876;91.4;130226_132155;1.89;3.73;B;.910;6.559;-133.657;-6.708;-2.124;50.0;5.293;14;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;7;1-1;NA;3;6-6;276055;Adam Dunn called out on strikes.  ;Strikeout;NA;NA;1;R;506433;3;NA;L;2;Y;Adam Dunn;Yu Darvish
-2.802;27.107;-16.181;4.8;3.9;23.8;Swinging Strike;83.8;NA;NA;NA;NA;-1.57;8.91;FF;0.429;2.223;189.936;1777.016;90.6;130226_132221;1.66;3.47;S;.917;6.95;-132.558;-4.756;-2.017;50.0;5.214;9;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;7;2-1;NA;3;6-6;276055;Adam Dunn called out on strikes.  ;Strikeout;NA;NA;1;R;506433;3;NA;L;2;Y;Adam Dunn;Yu Darvish
-8.931;33.408;-8.224;40.5;2.5;23.7;Ball;87.5;NA;NA;NA;NA;-4.51;12.07;FF;-1.594;2.899;200.449;2645.342;95.7;130226_132245;1.95;3.64;B;.902;3.785;-140.184;-5.034;-2.379;50.0;5.261;11;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;7;2-2;NA;3;6-6;276055;Adam Dunn called out on strikes.  ;Strikeout;NA;NA;1;R;506433;3;NA;L;2;Y;Adam Dunn;Yu Darvish
12.267;24.96;-30.626;-23.1;9.3;23.8;Called Strike;75.8;NA;NA;NA;NA;8.41;1.01;SL;0.496;2.688;97.192;1488.955;82.2;130226_132310;1.66;3.47;S;.867;4.294;-120.473;-0.072;-2.406;50.0;5.442;6;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;7;3-2;NA;3;6-6;276055;Adam Dunn called out on strikes.  ;Strikeout;NA;NA;1;R;506433;3;NA;L;2;Y;Adam Dunn;Yu Darvish
-17.282;32.07;-19.036;39.6;5.5;23.7;Ball;85.3;NA;NA;NA;NA;-9.19;6.95;FT;-1.689;3.254;232.757;2303.533;93.3;130226_132347;1.65;3.33;B;.902;5.126;-136.724;-1.867;-2.4;50.0;5.261;11;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;8;0-0;NA;1;6-1;543216;Conor Gillaspie flies out to right fielder Aaron Cunningham in foul territory.  ;Flyout;NA;NA;2;R;506433;0;NA;L;2;Y;Conor Gillaspie;Yu Darvish
-7.622;30.019;-8.862;28.2;2.7;23.8;In play, out(s);84.2;NA;NA;NA;NA;-4.19;12.78;FF;0.735;1.7;198.104;2650.502;91.9;130226_132406;1.65;3.33;X;.888;8.997;-134.248;-7.526;-2.12;50.0;5.176;14;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;8;1-0;NA;1;6-1;543216;Conor Gillaspie flies out to right fielder Aaron Cunningham in foul territory.  ;Flyout;NA;NA;2;R;506433;0;NA;L;2;Y;Conor Gillaspie;Yu Darvish
9.116;15.563;-39.103;-13.5;17.3;23.8;Ball;60.1;NA;NA;NA;NA;9.98;-7.67;CU;-0.798;4.223;52.761;1743.008;65.2;130226_132458;1.41;3.19;B;.906;0.177;-95.307;7.546;-2.187;50.0;5.754;11;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;9;0-0;NA;3;6-4;446411;Seth Loman flies out to left fielder David Murphy.  ;Flyout;NA;NA;3;R;506433;0;NA;L;2;Y;Seth Loman;Yu Darvish
-2.221;26.763;-14.71;1.4;3.6;23.8;Ball;85.4;NA;NA;NA;NA;-1.21;9.44;FF;1.286;0.881;187.246;1901.922;92.0;130226_132515;1.5;3.38;B;.906;9.568;-134.288;-8.461;-2.153;50.0;5.101;14;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;9;1-0;NA;3;6-4;446411;Seth Loman flies out to left fielder David Murphy.  ;Flyout;NA;NA;3;R;506433;0;NA;L;2;Y;Seth Loman;Yu Darvish
-5.818;30.005;-14.644;19.0;3.5;23.8;Ball;85.5;NA;NA;NA;NA;-3.09;9.28;FF;-1.786;3.198;198.359;1965.807;93.0;130226_132537;1.5;3.31;B;.918;2.657;-136.312;-2.863;-2.372;50.0;5.273;11;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;9;2-0;NA;3;6-4;446411;Seth Loman flies out to left fielder David Murphy.  ;Flyout;NA;NA;3;R;506433;0;NA;L;2;Y;Seth Loman;Yu Darvish
-6.033;27.991;-10.467;24.4;2.7;23.8;In play, out(s);86.9;NA;NA;NA;NA;-3.13;11.23;FF;-1.05;2.526;195.531;2380.283;93.7;130226_132556;1.5;3.38;X;.909;3.934;-137.319;-5.478;-2.088;50.0;5.246;11;http://gd2.mlb.com/components/game/mlb/year_2013/month_02/day_26/gid_2013_02_26_chamlb_texmlb_1/inning/inning_all.xml;9;3-0;NA;3;6-4;446411;Seth Loman flies out to left fielder David Murphy.  ;Flyout;NA;NA;3;R;506433;0;NA;L;2;Y;Seth Loman;Yu Darvish
-6.932;30.885;-12.08;24.1;3.2;23.7;Called Strike;83.5;NA;NA;NA;NA;-3.85;11.13;FF;-0.801;3.071;199.032;2304.729;91.3;130304_130526;1.5;3.02;S;.897;4.918;-133.803;-3.959;-2.169;50.0;5.445;11;http://gd2.mlb.com/components/game/mlb/year_2013/month_03/day_04/gid_2013_03_04_sdnmlb_texmlb_1/inning/inning_all.xml;1;0-0;NA;0;5-8;506560;Alexi Amarista flies out to center fielder Leonys Martin.  ;Flyout;NA;NA;1;R;506433;1;NA;L;1;Y;Alexi Amarista;Yu Darvish
2.253;27.196;-17.495;-10.2;4.2;23.8;In play, out(s);83.2;NA;NA;NA;NA;1.28;8.27;FC;-0.073;2.826;171.276;1633.949;90.0;130304_130543;1.5;3.02;X;.907;5.23;-131.861;-3.426;-2.245;50.0;5.428;2;http://gd2.mlb.com/components/game/mlb/year_2013/month_03/day_04/gid_2013_03_04_sdnmlb_texmlb_1/inning/inning_all.xml;1;0-1;NA;0;5-8;506560;Alexi Amarista flies out to center fielder Leonys Martin.  ;Flyout;NA;NA;1;R;506433;1;NA;L;1;Y;Alexi Amarista;Yu Darvish
-15.585;30.843;-20.035;34.9;5.4;23.8;Ball;85.2;NA;NA;NA;NA;-8.34;6.45;FT;-1.159;3.26;232.085;2105.585;92.9;130304_130626;1.5;3.19;B;.907;5.766;-136.113;-2.062;-2.226;50.0;5.42;11;http://gd2.mlb.com/components/game/mlb/year_2013/month_03/day_04/gid_2013_03_04_sdnmlb_texmlb_1/inning/inning_all.xml;2;0-0;NA;3;6-2;459941;Travis Buck flies out sharply to right fielder Engel Beltre.  ;Flyout;NA;NA;2;R;506433;1;NA;L;1;Y;Travis Buck;Yu Darvish
6.24;26.269;-22.124;-18.1;5.4;23.8;Ball;82.5;NA;NA;NA;NA;3.59;5.74;FC;0.144;4.243;148.165;1313.301;89.2;130304_130642;1.44;3.17;B;.912;4.795;-130.68;1.127;-2.177;50.0;5.463;12;http://gd2.mlb.com/components/game/mlb/year_2013/month_03/day_04/gid_2013_03_04_sdnmlb_texmlb_1/inning/inning_all.xml;2;1-0;NA;3;6-2;459941;Travis Buck flies out sharply to right fielder Engel Beltre.  ;Flyout;NA;NA;2;R;506433;1;NA;L;1;Y;Travis Buck;Yu Darvish
2.53;23.569;-19.701;-10.1;4.7;23.9;Foul;83.5;NA;NA;NA;NA;1.44;7.05;FC;0.422;2.449;168.535;1412.158;89.3;130304_130659;1.5;3.28;S;.908;6.384;-130.751;-3.55;-2.223;50.0;5.275;6;http://gd2.mlb.com/components/game/mlb/year_2013/month_03/day_04/gid_2013_03_04_sdnmlb_texmlb_1/inning/inning_all.xml;2;2-0;NA;3;6-2;459941;Travis Buck flies out sharply to right fielder Engel Beltre.  ;Flyout;NA;NA;2;R;506433;1;NA;L;1;Y;Travis Buck;Yu Darvish
3.597;24.702;-15.34;-16.1;3.7;23.9;Ball;86.9;NA;NA;NA;NA;1.9;8.86;FC;0.726;0.909;167.940;1843.205;92.7;130304_130732;1.36;3.29;B;.907;7.332;-135.491;-8.37;-2.243;50.0;5.071;14;http://gd2.mlb.com/components/game/mlb/year_2013/month_03/day_04/gid_2013_03_04_sdnmlb_texmlb_1/inning/inning_all.xml;2;2-1;NA;3;6-2;459941;Travis Buck flies out sharply to right fielder Engel Beltre.  ;Flyout;NA;NA;2;R;506433;1;NA;L;1;Y;Travis Buck;Yu Darvish
-0.355;25.332;-15.518;-2.8;3.6;23.9;In play, out(s);84.7;NA;NA;NA;NA;-0.2;9.11;FF;0.028;2.441;181.219;1814.176;91.0;130304_130751;1.5;3.28;X;.942;6.241;-133.227;-4.396;-2.307;50.0;5.215;5;http://gd2.mlb.com/components/game/mlb/year_2013/month_03/day_04/gid_2013_03_04_sdnmlb_texmlb_1/inning/inning_all.xml;2;3-1;NA;3;6-2;459941;Travis Buck flies out sharply to right fielder Engel Beltre.  ;Flyout;NA;NA;2;R;506433;1;NA;L;1;Y;Travis Buck;Yu Darvish
-10.487;30.79;-12.387;34.1;3.5;23.8;Ball;88.8;NA;NA;NA;NA;-5.22;9.82;FF;-1.773;0.933;207.922;2311.690;96.1;130304_130850;1.5;3.26;B;.860;3.401;-140.543;-9.373;-2.318;50.0;5.109;13;http://gd2.mlb.com/components/game/mlb/year_2013/month_03/day_04/gid_2013_03_04_sdnmlb_texmlb_1/inning/inning_all.xml;3;0-0;NA;4;6-0;117276;Mark Kotsay walks.  ;Walk;NA;NA;2;R;506433;1;NA;L;1;Y;Mark Kotsay;Yu Darvish
-0.335;27.255;-18.354;.9;4.2;23.7;Ball;79.9;NA;NA;NA;NA;-0.2;8.32;FF;-2.248;6.443;181.387;1567.452;87.3;130304_130908;1.55;3.33;B;.647;0.331;-127.951;5.813;-2.353;50.0;5.58;11;http://gd2.mlb.com/components/game/mlb/year_2013/month_03/day_04/gid_2013_03_04_sdnmlb_texmlb_1/inning/inning_all.xml;3;1-0;NA;4;6-0;117276;Mark Kotsay walks.  ;Walk;NA;NA;2;R;506433;1;NA;L;1;Y;Mark Kotsay;Yu Darvish
-5.13;29.338;-12.477;17.6;3.0;23.8;Called Strike;85.4;NA;NA;NA;NA;-2.74;10.47;FF;-0.922;2.865;194.597;2172.681;92.8;130304_130936;1.52;3.34;S;.913;4.224;-135.912;-4.175;-2.139;50.0;5.285;11;http://gd2.mlb.com/components/game/mlb/year_2013/month_03/day_04/gid_2013_03_04_sdnmlb_texmlb_1/inning/inning_all.xml;3;2-0;NA;4;6-0;117276;Mark Kotsay walks.  ;Walk;NA;NA;2;R;506433;1;NA;L;1;Y;Mark Kotsay;Yu Darvish
4.215;26.559;-18.083;-16.0;4.4;23.8;Ball;82.1;NA;NA;NA;NA;2.44;8.11;FC;-0.0020;3.921;163.348;1636.435;89.0;130304_130955;1.61;3.35;B;.911;4.915;-130.393;-0.075;-2.226;50.0;5.31;11;http://gd2.mlb.com/components/game/mlb/year_2013/month_03/day_04/gid_2013_03_04_sdnmlb_texmlb_1/inning/inning_all.xml;3;2-1;NA;4;6-0;117276;Mark Kotsay walks.  ;Walk;NA;NA;2;R;506433;1;NA;L;1;Y;Mark Kotsay;Yu Darvish
2.981;26.116;-21.194;-10.2;5.2;23.9;Ball;84.1;NA;NA;NA;NA;1.67;6.12;FC;0.258;0.645;164.812;1248.873;90.3;130304_131011;1.51;3.34;B;.907;5.917;-132.169;-7.413;-2.22;50.0;5.023;14;http://gd2.mlb.com/components/game/mlb/year_2013/month_03/day_04/gid_2013_03_04_sdnmlb_texmlb_1/inning/inning_all.xml;3;3-1;NA;4;6-0;117276;Mark Kotsay walks.  ;Walk;NA;NA;2;R;506433;1;NA;L;1;Y;Mark Kotsay;Yu Darvish
12.839;20.765;-34.015;-21.3;10.0;23.9;Called Strike;76.6;NA;117276;NA;NA;8.73;-1.3;SL;-0.083;2.285;81.840;1570.304;81.7;130304_131101;1.58;3.59;S;.864;2.964;-119.831;-0.135;-2.467;50.0;5.354;5;http://gd2.mlb.com/components/game/mlb/year_2013/month_03/day_04/gid_2013_03_04_sdnmlb_texmlb_1/inning/inning_all.xml;4;0-0;NA;0;6-1;461882;Jesus Guzman called out on strikes.  ;Strikeout;NA;NA;3;R;506433;3;NA;R;1;Y;Jesus Guzman;Yu Darvish
-8.845;28.432;-9.835;32.3;2.7;23.8;Foul;86.9;NA;117276;NA;NA;-4.6;11.57;FF;0.636;2.533;201.599;2537.563;93.9;130304_131122;1.5;3.58;S;.903;9.197;-137.364;-5.708;-2.147;50.0;5.296;6;http://gd2.mlb.com/components/game/mlb/year_2013/month_03/day_04/gid_2013_03_04_sdnmlb_texmlb_1/inning/inning_all.xml;4;0-1;NA;0;6-1;461882;Jesus Guzman called out on strikes.  ;Strikeout;NA;NA;3;R;506433;3;NA;R;1;Y;Jesus Guzman;Yu Darvish
11.269;23.261;-27.608;-23.7;7.9;23.9;Called Strike;78.4;NA;117276;NA;NA;7.26;2.89;SL;0.647;2.999;112.057;1428.795;84.2;130304_131146;1.62;3.42;S;.876;5.103;-123.46;-0.22;-2.386;50.0;5.402;3;http://gd2.mlb.com/components/game/mlb/year_2013/month_03/day_04/gid_2013_03_04_sdnmlb_texmlb_1/inning/inning_all.xml;4;0-2;NA;0;6-1;461882;Jesus Guzman called out on strikes.  ;Strikeout;NA;NA;3;R;506433;3;NA;R;1;Y;Jesus Guzman;Yu Darvish
-8.303;29.939;-17.117;26.4;4.3;23.7;Ball;81.3;NA;NA;NA;NA;-4.84;8.73;FS;-2.599;5.88;208.873;1907.401;89.2;130304_133009;1.4;3.07;B;.855;0.972;-130.783;3.731;-2.35;50.0;5.723;11;http://gd2.mlb.com/components/game/mlb/year_2013/month_03/day_04/gid_2013_03_04_sdnmlb_texmlb_1/inning/inning_all.xml;11;0-0;NA;4;5-10;576397;Jedd Gyorko walks.  ;Walk;NA;NA;0;R;506433;2;NA;R;2;Y;Jedd Gyorko;Yu Darvish
10.448;21.44;-34.717;-18.0;10.9;23.8;Called Strike;73.2;NA;NA;NA;NA;7.76;-1.94;SL;1.014;2.544;76.320;1352.631;78.7;130304_133032;1.16;3.09;S;.860;5.017;-115.333;0.828;-2.197;50.0;5.529;12;http://gd2.mlb.com/components/game/mlb/year_2013/month_03/day_04/gid_2013_03_04_sdnmlb_texmlb_1/inning/inning_all.xml;11;1-0;NA;4;5-10;576397;Jedd Gyorko walks.  ;Walk;NA;NA;0;R;506433;2;NA;R;2;Y;Jedd Gyorko;Yu Darvish
12.228;21.847;-27.19;-25.3;8.6;23.9;Swinging Strike;75.8;NA;NA;NA;NA;8.49;3.41;SL;1.349;1.616;112.176;1609.628;81.3;130304_133045;1.5;3.03;S;.868;5.627;-119.016;-3.046;-2.144;50.0;5.363;14;http://gd2.mlb.com/components/game/mlb/year_2013/month_03/day_04/gid_2013_03_04_sdnmlb_texmlb_1/inning/inning_all.xml;11;1-1;NA;4;5-10;576397;Jedd Gyorko walks.  ;Walk;NA;NA;0;R;506433;2;NA;R;2;Y;Jedd Gyorko;Yu Darvish
-10.32;29.875;-12.787;33.9;3.5;23.8;Ball;84.8;NA;NA;NA;NA;-5.57;10.43;FF;-0.215;4.106;208.026;2354.382;92.4;130304_133102;1.22;3.1;B;.778;6.969;-135.335;-1.248;-2.101;50.0;5.47;11;http://gd2.mlb.com/components/game/mlb/year_2013/month_03/day_04/gid_2013_03_04_sdnmlb_texmlb_1/inning/inning_all.xml;11;1-2;NA;4;5-10;576397;Jedd Gyorko walks.  ;Walk;NA;NA;0;R;506433;2;NA;R;2;Y;Jedd Gyorko;Yu Darvish
9.554;23.889;-34.059;-17.1;9.8;23.8;Ball;75.5;NA;NA;NA;NA;6.57;-1.35;SL;0.212;3.82;78.839;1177.439;81.9;130304_133120;1.24;3.16;B;.867;4.095;-119.989;3.249;-2.372;50.0;5.489;12;http://gd2.mlb.com/components/game/mlb/year_2013/month_03/day_04/gid_2013_03_04_sdnmlb_texmlb_1/inning/inning_all.xml;11;2-2;NA;4;5-10;576397;Jedd Gyorko walks.  ;Walk;NA;NA;0;R;506433;2;NA;R;2;Y;Jedd Gyorko;Yu Darvish
